iter	Logloss
143	0.4216154848
144	0.4211799135
145	0.4208506662
146	0.4202883127
147	0.4198094752
148	0.4193019642
149	0.4188895095
150	0.4185334966
151	0.418171157
152	0.4177882012
153	0.4173879199
154	0.4169710202
155	0.4162969516
156	0.4159386799
157	0.4154761906
158	0.4149518615
159	0.4146415928
160	0.414119978
161	0.4137277822
162	0.4134245991
163	0.4130214591
164	0.4127165836
165	0.4122704547
166	0.4115240414
167	0.4110840769
168	0.4107841106
169	0.4100519396
170	0.4098002659
171	0.4094951804
172	0.4092707667
173	0.4088295044
174	0.4085140678
175	0.4081727076
176	0.4078402271
177	0.4075986328
178	0.4073016048
179	0.406669941
180	0.4064127592
181	0.4060850698
182	0.4057337727
183	0.4054035278
184	0.4050897196
185	0.4048529154
186	0.4044795332
187	0.4042250676
188	0.4038518911
189	0.4035307882
190	0.4032785076
191	0.4029874931
192	0.4028027421
193	0.4024611515
194	0.4021879757
195	0.4018315241
196	0.4014530465
197	0.4011608671
198	0.4009085777
199	0.4004306948
200	0.4002180228
201	0.4000361264
202	0.399617396
203	0.3993868506
204	0.3990273339
205	0.3983665913
206	0.3980897222
207	0.3978025519
208	0.3975973076
209	0.3973834467
210	0.3971885099
211	0.3968812096
212	0.3964863793
213	0.3960618571
214	0.3956937547
215	0.3952480743
216	0.3951402778
217	0.3949243848
218	0.3945927765
219	0.3942903331
220	0.3939496771
221	0.3938182666
222	0.3935748003
223	0.3933300603
224	0.3930806502
225	0.3927575755
226	0.3926129205
227	0.3922420456
228	0.3920039127
229	0.3917899405
230	0.3915190035
231	0.3911220101
232	0.3906968572
233	0.3905390913
234	0.3902794831
235	0.3901252214
236	0.3898617464
237	0.3896891057
238	0.3895140582
239	0.3892694783
240	0.3889443349
241	0.3888112079
242	0.388517378
243	0.388229646
244	0.3878936323
245	0.3876270598
246	0.387417648
247	0.387199332
248	0.3869029128
249	0.3865653829
250	0.3863552187
251	0.3860312076
252	0.3857638633
253	0.3854712719
254	0.3852548292
255	0.3849845932
256	0.384762707
257	0.3843819663
258	0.3840642809
259	0.383777549
260	0.383625861
261	0.3831822031
262	0.3828971606
263	0.3827459977
264	0.3825301478
265	0.3822957945
266	0.382140664
267	0.3818836676
268	0.381801899
269	0.381687523
270	0.3813749501
271	0.3812594282
272	0.3809549772
273	0.3807511746
274	0.3805004149
275	0.3803608612
276	0.3801814851
277	0.3799650628
278	0.3798075226
279	0.3795895573
280	0.3793812659
281	0.3790320628
282	0.3787313003
283	0.378452531
284	0.3782223424
285	0.3780332505
286	0.377852711
287	0.3776008432
288	0.3773889718
289	0.3771254926
290	0.3769341004
291	0.3767238779
292	0.3765334924
293	0.376296173
294	0.3759856402
295	0.3756474834
296	0.375384945
297	0.3749744764
298	0.3747456747
299	0.3745754603
300	0.3744113447
301	0.3740900948
302	0.3739239635
303	0.3738061207
304	0.3736232157
305	0.3734352151
306	0.3732571123
307	0.373051968
308	0.372881316
309	0.3726890034
310	0.3724344829
311	0.3721391816
312	0.3719602885
313	0.3717801507
314	0.3715679738
315	0.3713841959
316	0.3712478834
317	0.3708825223
318	0.3707228692
319	0.3704251776
320	0.370202747
321	0.3699704573
322	0.3698370954
323	0.3696436677
324	0.369461026
325	0.3692028961
326	0.3688706934
327	0.3687581027
328	0.3684502379
329	0.3683510157
330	0.3680809274
331	0.3679911893
332	0.3677788535
333	0.3676028673
334	0.3674608974
335	0.3672832667
336	0.3670296507
337	0.366858213
338	0.3666998193
339	0.3666036942
340	0.3664579145
341	0.3661795752
342	0.3659131259
343	0.3656958723
344	0.36551109
345	0.365287608
346	0.3650741494
347	0.3648331277
348	0.3646163444
349	0.3642837746
350	0.3640528957
351	0.3638847426
352	0.3636857392
353	0.3634533246
354	0.3632510909
355	0.36309783
356	0.3629472608
357	0.3627400436
358	0.3625145502
359	0.3623258968
360	0.3620853505
361	0.3618672977
362	0.361634018
363	0.3614699515
364	0.3613907455
365	0.3612747848
366	0.3610571111
367	0.360851361
368	0.3605909008
369	0.3604005744
370	0.3602222289
371	0.3599705348
372	0.3597755907
373	0.3596406231
374	0.3594882824
375	0.3593425233
376	0.359269774
377	0.3590937292
378	0.3589154039
379	0.3588677573
380	0.358698868
381	0.3585340262
382	0.3582839182
383	0.3581244804
384	0.3579061236
385	0.3575778588
386	0.357430173
387	0.3573118097
388	0.3571587009
389	0.356872862
390	0.3567419884
391	0.3566151176
392	0.3563705882
393	0.3562330191
394	0.356085648
395	0.355924965
396	0.3557847665
397	0.3556239748
398	0.3554650601
399	0.355336244
400	0.3551265422
401	0.3549331102
402	0.354661718
403	0.3545671394
404	0.3543970419
405	0.3541051534
406	0.3538873952
407	0.3536355297
408	0.3533772216
409	0.3531708763
410	0.3530205034
411	0.3527864274
412	0.3525968295
413	0.3524149433
414	0.3522185453
415	0.3518067367
416	0.3516942851
417	0.3516018542
418	0.3514464357
419	0.3512847777
420	0.3510350587
421	0.3508197072
422	0.3505432223
423	0.3504924385
424	0.3503622479
425	0.3502174067
426	0.3500246317
427	0.3499300791
428	0.34971684
429	0.3495681411
430	0.3493675501
431	0.3492882316
432	0.3491864423
433	0.3489785555
434	0.3486954628
435	0.3485153777
436	0.3483327719
437	0.3480898284
438	0.3478631848
439	0.3476895554
440	0.3474979029
441	0.3471106573
442	0.3469558267
443	0.3468016993
444	0.3466338681
445	0.3463891868
446	0.3461518809
447	0.3460368224
448	0.3458136427
449	0.3455789582
450	0.3455007922
451	0.3453518643
452	0.3452125799
453	0.3450134896
454	0.3447238997
455	0.3445001892
456	0.3442424916
457	0.3439279376
458	0.3438126234
459	0.3435723863
460	0.3433550956
461	0.343173815
462	0.3429970309
463	0.342887073
464	0.3426833482
465	0.3425305651
466	0.3423552374
467	0.342107366
468	0.3419706833
469	0.3417485996
470	0.341609782
471	0.3412210867
472	0.3410713579
473	0.3409941362
474	0.340710344
475	0.34054689
476	0.3403903863
477	0.34032732
478	0.3401617307
479	0.3399960032
480	0.3398942453
481	0.3397535162
482	0.339564799
483	0.3393222173
484	0.339200172
485	0.3391062072
486	0.3388200804
487	0.3386412665
488	0.3384304956
489	0.338364165
490	0.338216069
491	0.338076618
492	0.3378059525
493	0.3375929562
494	0.3375245201
495	0.33733903
496	0.3371947533
497	0.3370774684
498	0.3369044765
499	0.336625517
500	0.3364041649
501	0.3362745739
502	0.3359925293
503	0.3358922035
504	0.3357966951
505	0.3356003353
506	0.3354621239
507	0.3352367518
508	0.3349811249
509	0.3348658534
510	0.334566833
511	0.3344206849
512	0.3343135817
513	0.334038265
514	0.33378079
515	0.3336888653
516	0.3334004544
517	0.3332526503
518	0.3330436082
519	0.3328773485
520	0.3327327563
521	0.3324712778
522	0.3322597581
523	0.3320696459
524	0.3318267836
525	0.331657561
526	0.3315416629
527	0.3313554679
528	0.3311553172
529	0.3310862804
530	0.3308181985
531	0.3306531649
532	0.3304589114
533	0.3303337846
534	0.330135598
535	0.329988549
536	0.3297282982
537	0.3294152626
538	0.3293079013
539	0.3291411859
540	0.3290767493
541	0.3287617301
542	0.3287069844
543	0.3286191029
544	0.3283898855
545	0.3281983105
546	0.3280426335
547	0.3278172197
548	0.3275588998
549	0.3272848545
550	0.3270549722
551	0.3269061229
552	0.3267589586
553	0.326647401
554	0.3264105344
555	0.3261683469
556	0.3259563727
557	0.3258093327
558	0.3256220727
559	0.3254284322
560	0.3252253123
561	0.3251026085
562	0.3247639715
563	0.3247251951
564	0.3245991553
565	0.3244398222
566	0.3242190318
567	0.3240237393
568	0.3236742675
569	0.3234713748
570	0.323309703
571	0.3232147231
572	0.323013888
573	0.3227638831
574	0.3225882375
575	0.3223636827
576	0.3221763375
577	0.322034527
578	0.3217091892
579	0.3215771913
580	0.3213983095
581	0.3211862222
582	0.3210632815
583	0.3209677939
584	0.3208622365
585	0.3207109005
586	0.3206042913
587	0.3203360745
588	0.320188319
589	0.3200474899
590	0.3198711246
591	0.3196215628
592	0.3195109955
593	0.3192670818
594	0.3190273476
595	0.3188699184
596	0.3186267594
597	0.3184661525
598	0.3183000167
599	0.3180965422
600	0.3178734244
601	0.3176294384
602	0.3173053267
603	0.3171186629
604	0.3169813776
605	0.3167995861
606	0.3166131876
607	0.3163334996
608	0.316119447
609	0.3159567365
610	0.3157787377
611	0.315638975
612	0.3154084441
613	0.3151886988
614	0.3149994175
615	0.3148495391
616	0.3148054782
617	0.3145501809
618	0.3144274064
619	0.3142447581
620	0.3141242325
621	0.3139714454
622	0.3137768451
623	0.3136213736
624	0.3134595176
625	0.3132950384
626	0.3130544538
627	0.3129114735
628	0.3127825267
629	0.3126062486
630	0.3123506733
631	0.3122010101
632	0.3120482757
633	0.3120341018
634	0.3119310631
635	0.3117074925
636	0.3115418087
637	0.3114578893
638	0.3112182931
639	0.3111911216
640	0.3110242253
641	0.3108641355
642	0.310679305
643	0.3104852237
644	0.3101071899
645	0.3099595112
646	0.3097229082
647	0.3094570608
648	0.3094281745
649	0.3091205797
650	0.3089246319
651	0.3086685944
652	0.3085264138
653	0.3083954199
654	0.3081951886
655	0.3080932426
656	0.307834824
657	0.3078167864
658	0.3076669051
659	0.3074415004
660	0.3072895218
661	0.3070726932
662	0.30696001
663	0.3067095374
664	0.3065041283
665	0.3062639326
666	0.3060979735
667	0.3059047636
668	0.3058679891
669	0.3058439475
670	0.3055428069
671	0.3053987282
672	0.305245038
673	0.3052268498
674	0.3049926922
675	0.3048011418
676	0.3045343255
677	0.3043420597
678	0.3042207647
679	0.3041198318
680	0.3038914167
681	0.3036665245
682	0.3033585395
683	0.3031386969
684	0.3029500509
685	0.3027692104
686	0.3024538035
687	0.3022513615
688	0.3020593367
689	0.301902562
690	0.30173736
691	0.3015448819
692	0.301402007
693	0.301120869
694	0.3009698009
695	0.3008317537
696	0.3006084028
697	0.3004067544
698	0.3003438899
699	0.3002616677
700	0.3001059813
701	0.2998222098
702	0.2997089753
703	0.2994845233
704	0.2993767859
705	0.2992073197
706	0.2989955801
707	0.298837359
708	0.2987944761
709	0.2986211255
710	0.2984313339
711	0.2984087189
712	0.2982031906
713	0.2980165652
714	0.2978492528
715	0.2977553867
716	0.2975603584
717	0.2974071319
718	0.297288811
719	0.297074099
720	0.2969036014
721	0.2967321591
722	0.2964816628
723	0.2963168959
724	0.2961620983
725	0.2960071399
726	0.2958217931
727	0.2955834898
728	0.2953892045
729	0.2952953036
730	0.2950777049
731	0.2948264427
732	0.2945950706
733	0.2943792377
734	0.2942328963
735	0.2941069605
736	0.2939593676
737	0.2937686683
738	0.2935690001
739	0.293387075
740	0.2932233442
741	0.2930464502
742	0.2929177128
743	0.2927404961
744	0.2925897155
745	0.2925731526
746	0.2923984858
747	0.2922367653
748	0.2920780676
749	0.2919089486
750	0.2917432164
751	0.2917215107
752	0.2915619902
753	0.2914009979
754	0.2912152238
755	0.2910639965
756	0.2909822613
757	0.2909475086
758	0.29077576
759	0.2906447413
760	0.2903629702
761	0.2902153923
762	0.2900481286
763	0.2900427461
764	0.2898809912
765	0.2897020715
766	0.2895524375
767	0.2893137672
768	0.2891659164
769	0.2889858592
770	0.2889418205
771	0.2887835629
772	0.2887349908
773	0.2885470933
774	0.288413009
775	0.2882577942
776	0.2881093515
777	0.2879111644
778	0.2877422906
779	0.2875785482
780	0.2875685629
781	0.2874233848
782	0.2873897116
783	0.2873351713
784	0.2871558158
785	0.2869745099
786	0.2868434373
787	0.286652139
788	0.2865243699
789	0.2865040065
790	0.2862986859
791	0.2862696506
792	0.2860950075
793	0.2860151461
794	0.2858917963
795	0.2856642543
796	0.2854157929
797	0.2853918037
798	0.285229518
799	0.2852144891
800	0.2850877368
801	0.2850391271
802	0.2850195011
803	0.2847991087
804	0.2847643316
805	0.284572648
806	0.2844472635
807	0.2841831612
808	0.2840939019
809	0.2840630878
810	0.2839021462
811	0.2837895198
812	0.2836047359
813	0.2834787415
814	0.2833012556
815	0.2832762294
816	0.2830941147
817	0.2829772659
818	0.2828302592
819	0.2826080822
820	0.2824613135
821	0.2823114724
822	0.2820444476
823	0.281959236
824	0.281831317
825	0.2818077446
826	0.2817792877
827	0.2816389802
828	0.281434888
829	0.2811463298
830	0.2809842044
831	0.2807676927
832	0.2805478509
833	0.2804120534
834	0.2802650232
835	0.2799924807
836	0.2798648061
837	0.2796609912
838	0.2795178299
839	0.2793509944
840	0.2791575491
841	0.2789829453
842	0.2788302463
843	0.2787074061
844	0.2785638838
845	0.278520304
846	0.2784644277
847	0.2783118058
848	0.2781013248
849	0.2779434981
850	0.2778039271
851	0.2776560382
852	0.2775098353
853	0.2773031617
854	0.2771248373
855	0.2770654965
856	0.2770432192
857	0.2769086977
858	0.2767373364
859	0.2765938943
860	0.2764395376
861	0.2762065817
862	0.2761286503
863	0.2759353329
864	0.275838645
865	0.2757882705
866	0.2757370306
867	0.2755688365
868	0.2754917587
869	0.2752083761
870	0.2751512306
871	0.2750113707
872	0.2748807532
873	0.2748056501
874	0.2745573604
875	0.2744604211
876	0.2743985618
877	0.274203265
878	0.2740555581
879	0.2738103468
880	0.2735462882
881	0.2733828778
882	0.2731925703
883	0.273002895
884	0.2728935427
885	0.2727605388
886	0.272620321
887	0.272479226
888	0.2724032221
889	0.2723851129
890	0.2723325387
891	0.2721548913
892	0.2719296456
893	0.2717901798
894	0.2716500927
895	0.2715015536
896	0.2714008381
897	0.2713934256
898	0.2713765585
899	0.2711687994
900	0.2710655775
901	0.2709322687
902	0.2709053888
903	0.2707349161
904	0.2705891347
905	0.2703761668
906	0.2702698432
907	0.2701029884
908	0.2700878838
909	0.2698447626
910	0.2696241504
911	0.2694648905
912	0.2692975897
913	0.2691562198
914	0.2689817164
915	0.2688421613
916	0.2686823337
917	0.2685593254
918	0.2683984608
919	0.2683220654
920	0.2681840214
921	0.2680243141
922	0.2678807444
923	0.2676995008
924	0.2675988492
925	0.2673344659
926	0.2671423777
927	0.2668934671
928	0.2667053448
929	0.2665622423
930	0.2664086575
931	0.2662165554
932	0.2660849828
933	0.2660714831
934	0.2660311747
935	0.2659433035
936	0.2657662938
937	0.2656226215
938	0.2654323565
939	0.2652801781
940	0.2650947309
941	0.2650810838
942	0.2649224412
943	0.2647606551
944	0.2646270262
945	0.264616103
946	0.2644475328
947	0.2643489565
948	0.2642622465
949	0.2641223067
950	0.2640096697
951	0.2639159868
952	0.2637528473
953	0.2636280161
954	0.26361949
955	0.2634278846
956	0.2632634215
957	0.2630296053
958	0.2628447069
959	0.2627049168
960	0.2626463416
961	0.2625339034
962	0.2623785103
963	0.2622518195
964	0.2621159114
965	0.2620914834
966	0.2619573667
967	0.2618646415
968	0.2616791489
969	0.2614731969
970	0.2613032866
971	0.2612185433
972	0.2610591892
973	0.2610167166
974	0.261003941
975	0.2608439131
976	0.2606897651
977	0.2605262924
978	0.2603826625
979	0.2602444885
980	0.2600988534
981	0.2599765621
982	0.2598524217
983	0.2597200003
984	0.259585912
985	0.2594849069
986	0.2593931071
987	0.2593121962
988	0.2592032469
989	0.2590488338
990	0.2589957443
991	0.258899097
992	0.2588303916
993	0.2586715082
994	0.258537354
995	0.2585206401
996	0.2584940244
997	0.2584111703
998	0.2582352724
999	0.2581313189
